Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2024-10-21 09:08:39,7,538,0.016728624535315983,1.6728624535315983,4.8092721242389664e-05
2024-10-21 09:08:39,7,547,0.016453382084095063,1.6453382084095063,9.027679840320153e-05
2024-10-21 09:08:39,6,557,0.01615798922800718,1.615798922800718,0.0001780988991876421
2024-10-21 09:08:39,8,567,0.015873015873015872,1.5873015873015872,0.00013267272671532582
2024-10-21 09:08:39,8,575,0.01565217391304348,1.565217391304348,0.00016841684248037646
2024-10-21 09:08:39,7,582,0.015463917525773196,1.5463917525773196,0.0001572596677337869
2024-10-21 09:08:39,8,592,0.015202702702702704,1.5202702702702704,0.00010563625710092013
2024-10-21 09:08:39,7,601,0.014975041597337771,1.497504159733777,0.00014997444489948632
2024-10-21 09:08:39,7,610,0.014754098360655738,1.4754098360655739,7.994555301372511e-05
2024-10-21 09:08:39,8,614,0.014657980456026058,1.4657980456026058,4.8455976412818135e-05
2024-10-21 09:08:39,6,622,0.014469453376205787,1.4469453376205788,9.321606192503e-05
2024-10-21 09:08:39,7,627,0.014354066985645933,1.4354066985645932,9.367307079888445e-05
2024-10-21 09:08:39,8,630,0.014285714285714285,1.4285714285714286,6.441133185971151e-05
2024-10-21 09:08:39,8,633,0.014218009478672985,1.4218009478672986,6.526255728043739e-05
2024-10-21 09:08:39,8,636,0.014150943396226415,1.4150943396226416,0.00010299040605901205
2024-10-21 09:08:39,8,643,0.013996889580093312,1.3996889580093312,0.0001452611091036545
2024-10-21 09:08:39,7,649,0.01386748844375963,1.386748844375963,4.2236116529809836e-05
2024-10-21 09:08:39,8,657,0.015220700152207,1.5220700152207,9.10413859667278e-05
2024-10-21 09:08:39,8,663,0.015082956259426848,1.5082956259426847,0.00011306691533334635
2024-10-21 09:08:39,8,671,0.014903129657228018,1.4903129657228018,4.7527168457019026e-05
2024-10-21 09:08:39,6,680,0.014705882352941176,1.4705882352941175,0.00012057802334072593
2024-10-21 09:08:39,8,687,0.01455604075691412,1.455604075691412,4.742861305432309e-05
2024-10-21 09:08:39,8,695,0.015827338129496403,1.5827338129496402,0.00010198511537253137
2024-10-21 09:08:39,5,705,0.015602836879432624,1.5602836879432624,6.993553902224824e-05
2024-10-21 09:08:39,8,713,0.015427769985974754,1.5427769985974753,0.0001232225130234945
2024-10-21 09:08:39,8,717,0.015341701534170154,1.5341701534170153,0.00011026210262370558
2024-10-21 09:08:39,7,721,0.015256588072122053,1.5256588072122053,8.014561297132027e-05
2024-10-21 09:08:39,7,728,0.01510989010989011,1.510989010989011,3.084468838525774e-05
2024-10-21 09:08:39,7,736,0.014945652173913044,1.4945652173913044,5.378672045843996e-05
2024-10-21 09:08:39,8,743,0.016150740242261104,1.6150740242261103,0.00010092915908754579
2024-10-21 09:08:39,8,748,0.017379679144385027,1.7379679144385027,9.437293110493718e-05
2024-10-21 09:08:39,8,758,0.017150395778364115,1.7150395778364116,1.4559309044310858e-05
2024-10-21 09:08:39,7,765,0.018300653594771243,1.8300653594771243,7.221049984266525e-05
2024-10-21 09:08:39,8,772,0.018134715025906734,1.8134715025906734,1.3541799013326448e-05
2024-10-21 09:08:39,7,781,0.01792573623559539,1.792573623559539,9.207417719189919e-05
2024-10-21 09:08:39,6,788,0.017766497461928935,1.7766497461928936,0.00011775930456412881
2024-10-21 09:08:39,7,795,0.01761006289308176,1.7610062893081762,6.751287805182171e-05
2024-10-21 09:08:39,8,800,0.0175,1.7500000000000002,6.538347042108388e-05
2024-10-21 09:08:39,8,808,0.017326732673267328,1.7326732673267329,0.0001059636383389821
2024-10-21 09:08:39,5,817,0.017135862913096694,1.7135862913096693,3.18801333983478e-05
2024-10-21 09:08:39,7,827,0.018137847642079808,1.8137847642079807,1.7769190238097738e-05
2024-10-21 09:08:39,8,831,0.018050541516245487,1.8050541516245486,2.309096590893777e-05
2024-10-21 09:08:39,7,839,0.017878426698450536,1.7878426698450536,4.103366738666548e-05
2024-10-21 09:08:39,5,843,0.017793594306049824,1.7793594306049825,0.0001097771404329691
2024-10-21 09:08:39,8,852,0.017605633802816902,1.7605633802816902,9.215400669162552e-05
