Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
47,10,4,3349,1.3436846819946253,1.251065507636414,873,627,227,279,283,1.260346624596897,IFA_Attack
48,10,4,3392,1.3266509433962264,2.33956822923424,874,632,233,281,286,1.2484138288327715,IFA_Attack
49,10,4,3456,1.3310185185185186,2.1793935669291216,879,640,237,286,289,2.182436769679895,IFA_Attack
50,10,4,3497,1.315413211323992,1.878323362107245,879,644,241,287,292,1.0801094525036818,IFA_Attack
51,10,4,3544,1.2979683972911964,1.8829792636354221,882,648,247,289,294,1.4281588632827502,IFA_Attack
52,10,4,3577,1.3419066256639642,1.9880674313474025,882,652,250,291,294,1.33764050086073,IFA_Attack
53,10,4,3587,1.366044047950934,2.1830249447475896,882,652,251,291,294,1.043668376910349,IFA_Attack
54,10,4,3621,1.3532173432753383,2.8223423921963704,884,657,255,292,297,1.5541798449373323,IFA_Attack
55,10,4,3647,1.3709898546750754,2.7034492551296334,886,660,257,294,298,2.2233822515669774,IFA_Attack
56,10,4,3683,1.3575889220743957,2.143635912111668,887,664,262,297,298,1.412217807414292,IFA_Attack
57,10,4,3739,1.3372559507889812,1.4323922275792265,889,674,269,300,303,1.7496487565279453,IFA_Attack
58,10,4,3812,1.3378803777544597,2.1202506901546987,889,686,275,304,309,2.183402898969524,IFA_Attack
59,10,4,3867,1.3188518231186968,2.5731693106084736,891,694,280,306,315,1.8232038367849712,IFA_Attack
60,10,4,3915,1.3282247765006385,2.0091272232902773,891,702,283,311,318,1.6949496752618867,IFA_Attack
